Subject,URL,year,month
Release:  Charges: Firearms Call in 1100 Block Elphinstone Street,https://reginapolice.ca/2017/10/charges-firearms-call-in-1100-block-elphinstone-street/,2017,10
Release:  Concern for Edmonton; Status Quo in Regina,https://reginapolice.ca/2017/10/concern-for-edmonton-status-quo-in-regina/,2017,10
Release:  Death Investigation – Police and Coroner,https://reginapolice.ca/2017/10/death-investigation-police-and-coroner-2/,2017,10
Release:  Fifteen Year-Old Charged in April Robbery Incident,https://reginapolice.ca/2017/10/fifteen-year-old-charged-in-april-robbery-incident/,2017,10
"Release:  Girls, Twelve, Charged with Arsons",https://reginapolice.ca/2017/10/girls-twelve-and-under-charged-with-arsons/,2017,10
Release:  Halloween Safety Tips for kids,https://reginapolice.ca/2017/10/halloween-safety-tips-for-kids/,2017,10
Release:  Learning from STEP*: Local Commercial Vehicle Inspections,https://reginapolice.ca/2017/10/learning-from-step-local-commercial-vehicle-inspections/,2017,10
Release:  Male and Female Charged in Firearms Offence,https://reginapolice.ca/2017/10/male-and-female-charged-in-firearms-offence/,2017,10
"Release:  Male Arrested – Assault, Evades",https://reginapolice.ca/2017/10/male-arrested-assault-evades/,2017,10
Release:  Male Charged in Mischief Incidents in Rosemont,https://reginapolice.ca/2017/10/male-charged-in-mischief-incidents-in-rosemont/,2017,10
Release:  Male Charged in Three Recent Robberies,https://reginapolice.ca/2017/10/male-charged-in-three-recent-robberies/,2017,10
Release:  More B&E Cases Concluded: New Charges for Regina Male,https://reginapolice.ca/2017/10/more-be-cases-concluded-new-charges-for-regina-male/,2017,10
Release:  Non-Fatal Overdoses – Investigation Ongoing,https://reginapolice.ca/2017/10/non-fatal-overdoses-investigation-ongoing/,2017,10
Release:  Regina Male Charged in Connection to Non-Fatal Overdoses,https://reginapolice.ca/2017/10/regina-male-charged-in-connection-to-non-fatal-overdoses/,2017,10
Release:  Regina Male Charged With Aggravated Assault,https://reginapolice.ca/2017/10/regina-male-charged-with-aggravated-assault-4/,2017,10
Release:  Regina Police Service “Community Cop Day”,https://reginapolice.ca/2017/10/regina-police-service-community-cop-day-2/,2017,10
Release:  Request Assistance: Bear Spray Assaults,https://reginapolice.ca/2017/10/request-assistance-bear-spray-assaults/,2017,10
Release:  Request Assistance: Robbery,https://reginapolice.ca/2017/10/request-assistance-robbery-8/,2017,10
Release:  Request Assistance: Taxi-cab Driver Assault,https://reginapolice.ca/2017/10/request-assistance-taxi-cab-driver-assault/,2017,10
Release:  Request Information – Aggravated Assault,https://reginapolice.ca/2017/10/request-information-aggravated-assault-4/,2017,10
Release:  Request Information – Hit & Run,https://reginapolice.ca/2017/10/request-information-hit-run/,2017,10
Release:  Request Information – Robbery,https://reginapolice.ca/2017/10/request-information-robbery/,2017,10
Release:  Rider Game-Day Plan: A Few Changes to Traffic & Security,https://reginapolice.ca/2017/10/rider-game-day-plan-a-few-changes-to-traffic-security/,2017,10
Release:  Rider Game-Day Plan: Graders added to Traffic Plan,https://reginapolice.ca/2017/10/rider-game-day-plan-graders-added-to-traffic-plan/,2017,10
Release:  Robbery at Financial Institution,https://reginapolice.ca/2017/10/robbery-at-financial-institution/,2017,10
Release:  Safe Resolution to Firearms Call in 1100 Block Elphinstone Street,https://reginapolice.ca/2017/10/safe-resolution-to-firearms-call-in-1100-block-elphinstone-street/,2017,10
Release:  Second Youth Charged in April Robbery Incident,https://reginapolice.ca/2017/10/second-youth-charged-in-april-robbery-incident/,2017,10
Release:  Stolen Auto,https://reginapolice.ca/2017/10/stolen-auto-4/,2017,10
Release:  Stolen Auto – Five youths arrested,https://reginapolice.ca/2017/10/stolen-auto-five-youths-arrested/,2017,10
Release:  Stolen Vehicle and Property,https://reginapolice.ca/2017/10/stolen-vehicle-and-property-2/,2017,10
Release:  Stolen Vehicle in Progress Call Leads to Charges,https://reginapolice.ca/2017/10/stolen-vehicle-in-progress-call-leads-to-charges/,2017,10
Release:  Three Charged in Weapons Related (Firearm) Offence,https://reginapolice.ca/2017/10/three-charged-in-weapons-related-firearm-offence/,2017,10
Release:  Three Youths Arrested in Stolen Auto Incident,https://reginapolice.ca/2017/10/three-youths-arrested-in-stolen-auto-incident/,2017,10
Release:  Two Charged in Connection with RV Battery Theft Incidents,https://reginapolice.ca/2017/10/two-charged-in-connection-with-rv-battery-theft-incidents/,2017,10
Release:  UPDATE: Death Investigation – Homicide Investigation,https://reginapolice.ca/2017/10/update-death-investigation-homicide-investigation/,2017,10
Release:  UPDATE: Homicide Investigation – Victim Identified,https://reginapolice.ca/2017/10/update-homicide-investigation-victim-identified/,2017,10
Release:  UPDATE: Police Investigate Discharged Firearm,https://reginapolice.ca/2017/10/update-police-investigate-discharged-firearm/,2017,10
Release:  Update: Request Assistance: Bear Spray Assaults,https://reginapolice.ca/2017/10/update-request-assistance-bear-spray-assaults/,2017,10
Release:  Victim’s Death Prompts New Charge,https://reginapolice.ca/2017/10/victims-death-prompts-new-charge/,2017,10
Release:  Aaaaannnd…Cue the Snow!,https://reginapolice.ca/2017/11/aaaaannndcue-the-snow/,2017,11
Release:  Assault,https://reginapolice.ca/2017/11/assault-2/,2017,11
Release:  Attempt Murder Charge,https://reginapolice.ca/2017/11/attempt-murder-charge/,2017,11
Release:  Charges Laid in Domestic Related Weapons Offence,https://reginapolice.ca/2017/11/charges-laid-in-domestic-related-weapons-offence/,2017,11
Release:  City announces new HQ for Regina Police Service,https://reginapolice.ca/2017/11/city-announces-new-hq-for-regina-police-service/,2017,11
"Release:  Criminals Find TAP Function Handy, Too!",https://reginapolice.ca/2017/11/criminals-find-tap-function-handy-too/,2017,11
Release:  Emergency Services Used in High-Risk Warrant Execution,https://reginapolice.ca/2017/11/emergency-services-used-in-high-risk-warrant-execution/,2017,11
Release:  Firearms Offense – Pointing Firearm,https://reginapolice.ca/2017/11/firearms-offense-pointing-firearm/,2017,11
Release:  Male Arrested on Warrant,https://reginapolice.ca/2017/11/male-arrested-on-warrant/,2017,11
Release:  Male Youth Charged With Attempted Murder – 2015 Shootings,https://reginapolice.ca/2017/11/male-youth-charged-with-attempted-murder-2015-shootings/,2017,11
Release:  Operation #BusCop Part 2 Breakdown,https://reginapolice.ca/2017/11/operation-buscop-part-2-breakdown/,2017,11
Release:  Police Conduct Weapons Investigation,https://reginapolice.ca/2017/11/police-conduct-weapons-investigation-3/,2017,11
Release:  Police Investigate Firearms Offence,https://reginapolice.ca/2017/11/police-investigate-firearms-offence-3/,2017,11
Release:  Police Investigate Robbery,https://reginapolice.ca/2017/11/police-investigate-robbery-12/,2017,11
Release:  Police Investigate Weapons Offence,https://reginapolice.ca/2017/11/police-investigate-weapons-offence-6/,2017,11
Release:  Regina Male Charged in Armed Robbery,https://reginapolice.ca/2017/11/regina-male-charged-in-armed-robbery/,2017,11
Release:  Regina Male Charged in High-Risk Warrant Call,https://reginapolice.ca/2017/11/regina-male-charged-in-high-risk-warrant-call/,2017,11
Release:  Regina Male Charged With Uttering Threats,https://reginapolice.ca/2017/11/regina-male-charged-with-uttering-threats-2/,2017,11
Release:  Regina Male Facing Stolen Auto and Weapons Charges,https://reginapolice.ca/2017/11/regina-male-facing-stolen-auto-and-weapons-charges/,2017,11
Release:  Regina Police Announce Enhanced Approach to Domestic Conflict,https://reginapolice.ca/2017/11/regina-police-announce-enhanced-approach-to-domestic-conflict/,2017,11
"Release:  Request Assistance – Shot Fired, 1600 Block Rae Street",https://reginapolice.ca/2017/11/request-assistance-shot-fired-1600-block-rae-street/,2017,11
"Release:  Request Assistance – Weapons Offence, 900 Block Retallack",https://reginapolice.ca/2017/11/request-assistance-weapons-offence-900-block-retallack/,2017,11
Release:  Request Assistance: Attempt Armed Robbery,https://reginapolice.ca/2017/11/request-assistance-attempt-armed-robbery/,2017,11
Release:  Request Assistance: Firearm Discharge,https://reginapolice.ca/2017/11/request-assistance-firearm-discharge-3/,2017,11
Release:  Request Assistance: Robbery,https://reginapolice.ca/2017/11/request-assistance-robbery-9/,2017,11
Release:  Request Assistance: Robbery Investigation,https://reginapolice.ca/2017/11/request-assistance-robbery-investigation-9/,2017,11
Release:  Request Information – Assault with a Weapon,https://reginapolice.ca/2017/11/request-information-assault-with-a-weapon/,2017,11
"Release:  Request Information – Weapons Offence, Montague Street",https://reginapolice.ca/2017/11/request-information-weapons-offence-montague-street/,2017,11
Release:  Reward Offered in 2016 Homicide Case,https://reginapolice.ca/2017/11/reward-offered-in-2016-homicide-case/,2017,11
Release:  Robbery Involving a Firearm,https://reginapolice.ca/2017/11/robbery-involving-a-firearm/,2017,11
Release:  Stolen Vehicles Lead to Charges,https://reginapolice.ca/2017/11/stolen-vehicles-lead-to-charges/,2017,11
Release:  Threatening Arrest Following Police Standoff,https://reginapolice.ca/2017/11/threatening-arrest-following-police-standoff/,2017,11
"Release:  Three Charged in Evade, Possession of Stolen Property, Counterfeit Currency and Breach Probation",https://reginapolice.ca/2017/11/three-charged-in-evade-possession-of-stolen-property-counterfeit-currency-and-breach-probation/,2017,11
Release:  Timely Communication Wins the Day,https://reginapolice.ca/2017/11/timely-communication-wins-the-day/,2017,11
Release:  Two Female Youth Charged in Stolen Auto Incident,https://reginapolice.ca/2017/11/two-female-youth-charged-in-stolen-auto-incident/,2017,11
Release:  UPDATE: Police Investigate Weapons Offence,https://reginapolice.ca/2017/11/update-police-investigate-weapons-offence/,2017,11
Release:  Vehicle Stop Leads to Trafficking Charges,https://reginapolice.ca/2017/11/vehicle-stop-leads-to-trafficking-charges/,2017,11
Release:  Advisory to Public: Combined Agency Special Teams Training,https://reginapolice.ca/2017/12/advisory-to-public-combined-agency-special-teams-training/,2017,12
Release:  Advisory: Auto Theft,https://reginapolice.ca/2017/12/advisory-auto-theft/,2017,12
Release:  Advisory: CEW Discharge,https://reginapolice.ca/2017/12/advisory-cew-discharge-15/,2017,12
Release:  Aggravated Assault,https://reginapolice.ca/2017/12/aggravated-assault-4/,2017,12
Release:  Armed Robbery,https://reginapolice.ca/2017/12/armed-robbery-4/,2017,12
Release:  Arson and Forcible Confinement,https://reginapolice.ca/2017/12/arson-and-forcible-confinement/,2017,12
Release:  Bear Spray Incident,https://reginapolice.ca/2017/12/bear-spray-incident/,2017,12
Release:  Charges Laid in Assault Investigation,https://reginapolice.ca/2017/12/charges-laid-in-assault-investigation/,2017,12
Release:  Death Investigation,https://reginapolice.ca/2017/12/death-investigation-7/,2017,12
Release:  Death Investigation,https://reginapolice.ca/2017/12/death-investigation-8/,2017,12
Release:  Death Investigation Deemed Homicide,https://reginapolice.ca/2017/12/death-investigation-deemed-homicide/,2017,12
Release:  Holiday Message 2017,https://reginapolice.ca/2017/12/holiday-message-2017/,2017,12
Release:  Motor Vehicle Collision With Injuries Determined to be Non-Criminal,https://reginapolice.ca/2017/12/motor-vehicle-collision-with-injuries-determined-to-be-non-criminal/,2017,12
Release:  Rapid Deployment Training – Former STC Building,https://reginapolice.ca/2017/12/rapid-deployment-training-former-stc-building/,2017,12
"Release:  Regina Male Charged in Assault Police Officer, Evade & Theft",https://reginapolice.ca/2017/12/regina-male-charged-in-assault-police-officer-evade-theft/,2017,12
Release:  Regina Male Charged in Recent Robberies,https://reginapolice.ca/2017/12/regina-male-charged-in-recent-robberies/,2017,12
Release:  Request Assistance: Assault,https://reginapolice.ca/2017/12/request-assistance-assault-2/,2017,12
Release:  Request Assistance: Robbery Investigation,https://reginapolice.ca/2017/12/request-assistance-robbery-investigation-10/,2017,12
Release:  Request Assistance: Robbery Investigation,https://reginapolice.ca/2017/12/request-assistance-robbery-investigation-11/,2017,12
Release:  Request Assistance: Robbery Investigation,https://reginapolice.ca/2017/12/request-assistance-robbery-investigation-12/,2017,12
Release:  Request Assistance: Robbery Investigation,https://reginapolice.ca/2017/12/request-assistance-robbery-investigation-13/,2017,12
Release:  Request Assistance: Robbery Investigation,https://reginapolice.ca/2017/12/request-assistance-robbery-investigation-14/,2017,12
Release:  Request Information: Firearm Discharge,https://reginapolice.ca/2017/12/request-information-firearm-discharge/,2017,12
Release:  Robbery at Financial Institution,https://reginapolice.ca/2017/12/robbery-at-financial-institution-2/,2017,12
"Release:  Robbery, Evade, Stolen Property and Other Charges",https://reginapolice.ca/2017/12/robbery-evade-stolen-property-and-other-charges/,2017,12
Release:  Stolen Auto,https://reginapolice.ca/2017/12/stolen-auto-5/,2017,12
"Release:  Three Charged in Stolen Auto, Theft, Weapons Incidents",https://reginapolice.ca/2017/12/three-charged-in-stolen-auto-theft-weapons-incidents/,2017,12
Release:  Traffic Fatality in Regina,https://reginapolice.ca/2017/12/traffic-fatality-in-regina/,2017,12
Release:  Two Arrested in SWAT/Negotiators Call,https://reginapolice.ca/2017/12/two-arrested-in-swat-negotiators-call/,2017,12
Release:  Two Charged With Possession of Stolen Auto,https://reginapolice.ca/2017/12/two-charged-with-possession-of-stolen-auto/,2017,12
Release:  Two Injured in Collision – Ross Avenue & Ring Road,https://reginapolice.ca/2017/12/two-injured-in-collision-ross-avenue-ring-road/,2017,12
Release:  Unattended Running Vehicles are Targets,https://reginapolice.ca/2017/12/unattended-running-vehicles-are-targets/,2017,12
Release:  UPDATE: Analysis of RDU Drug Seizure Shows Carfentanil,https://reginapolice.ca/2017/12/update-analysis-of-rdu-drug-seizure-shows-carfentanil/,2017,12
Release:  UPDATE: Death Investigation – Marigold Drive,https://reginapolice.ca/2017/12/update-death-investigation-marigold-drive/,2017,12
Release:  UPDATE: Homicide Investigation – Identity Released,https://reginapolice.ca/2017/12/update-homicide-investigation-identity-released/,2017,12
"Release:  UPDATE: Subject of Warrant, Craig PAPEQUASH, Arrested",https://reginapolice.ca/2017/12/update-subject-of-warrant-craig-papequash-arrested/,2017,12
"Release:  Vehicle Stopped – Loaded, Sawed-off Rifle Seized",https://reginapolice.ca/2017/12/vehicle-stopped-loaded-sawed-off-rifle-seized/,2017,12
Release:  Weapons Related Offence,https://reginapolice.ca/2017/12/weapons-related-offence-2/,2017,12
Release:  Adult Male Charged With Stolen Auto,https://reginapolice.ca/2018/01/adult-male-charged-with-stolen-auto/,2018,1
Release:  Advisory: Business Robberies,https://reginapolice.ca/2018/01/advisory-business-robberies/,2018,1
"Release:  Attempt Murders: November Weapons Offence, Montague Street",https://reginapolice.ca/2018/01/attempt-murders-november-weapons-offence-montague-street/,2018,1
Release:  Break and Enter,https://reginapolice.ca/2018/01/break-and-enter-5/,2018,1
Release:  Break and Enter and Commit Assault with Weapon,https://reginapolice.ca/2018/01/break-and-enter-and-commit-assault-with-weapon/,2018,1
"Release:  Break and Enter, Stolen Auto",https://reginapolice.ca/2018/01/break-and-enter-stolen-auto/,2018,1
Release:  CEW Discharge in Arrest of Male Suspect,https://reginapolice.ca/2018/01/cew-discharge-in-arrest-of-male-suspect-6/,2018,1
"Release:  CFSEU Investigation: Firearm, Drugs, & Cash Seized, Male Charged – Warning of Possible Fentanyl",https://reginapolice.ca/2018/01/cfseu-investigation-firearm-drugs-cash-seized-male-charged-warning-of-possible-fentanyl/,2018,1
Release:  Charges in Recent Commercial Robberies,https://reginapolice.ca/2018/01/charges-in-recent-commercial-robberies/,2018,1
Release:  Death Confirmed Homicide: Identity of Victim Released,https://reginapolice.ca/2018/01/death-confirmed-homicide-identity-of-victim-released/,2018,1
Release:  Death Investigation – Police and Coroner,https://reginapolice.ca/2018/01/death-investigation-police-and-coroner-3/,2018,1
Release:  Drug and Firearm Charges,https://reginapolice.ca/2018/01/drug-and-firearm-charges/,2018,1
Release:  Drug Charges,https://reginapolice.ca/2018/01/drug-charges/,2018,1
Release:  Firearm Discharge,https://reginapolice.ca/2018/01/firearm-discharge-2/,2018,1
Release:  Five Youths Arrested in Stolen Vehicle,https://reginapolice.ca/2018/01/five-youths-arrested-in-stolen-vehicle/,2018,1
Release:  Forcible Confinement,https://reginapolice.ca/2018/01/forcible-confinement-2/,2018,1
Release:  Hit and Run Involving School Bus,https://reginapolice.ca/2018/01/hit-and-run-involving-school-bus/,2018,1
Release:  Male Charged in Weekend Hit & Run,https://reginapolice.ca/2018/01/male-charged-in-weekend-hit-run/,2018,1
Release:  Marijuana Dispensaries News Conference,https://reginapolice.ca/2018/01/marijuana-dispensaries-news-conference/,2018,1
Release:  Pair Facing Drug/Weapons Charges,https://reginapolice.ca/2018/01/pair-facing-drug-weapons-charges/,2018,1
Release:  Police and Fire Crews on Scene – Natural Gas Leak,https://reginapolice.ca/2018/01/police-and-fire-crews-on-scene-natural-gas-leak/,2018,1
Release:  Police Investigate Apartment Fire – Request Information,https://reginapolice.ca/2018/01/police-investigate-apartment-fire-request-information/,2018,1
Release:  Police Investigate Armed Robbery,https://reginapolice.ca/2018/01/police-investigate-armed-robbery-7/,2018,1
Release:  Police Investigate Armed Robbery,https://reginapolice.ca/2018/01/police-investigate-armed-robbery-8/,2018,1
Release:  Police Investigate Collision,https://reginapolice.ca/2018/01/police-investigate-collision/,2018,1
Release:  Police Investigate Two Vehicle Accident,https://reginapolice.ca/2018/01/police-investigate-two-vehicle-accident/,2018,1
Release:  Police Investigating Two New Robberies,https://reginapolice.ca/2018/01/police-investigating-two-new-robberies/,2018,1
Release:  Police Request Independent Oversight of Death Investigation,https://reginapolice.ca/2018/01/police-request-independent-oversight-of-death-investigation/,2018,1
Release:  Regina Male Charged in Assault on Females,https://reginapolice.ca/2018/01/regina-male-charged-in-assault-on-females/,2018,1
Release:  Regina Pair Accused in Crime Spree,https://reginapolice.ca/2018/01/regina-pair-accused-in-crime-spree/,2018,1
Release:  Regina Youth Charged in Weapons Incident,https://reginapolice.ca/2018/01/regina-youth-charged-in-weapons-incident/,2018,1
Release:  Request Assistance: Robbery Investigation,https://reginapolice.ca/2018/01/request-assistance-robbery-investigation-15/,2018,1
Release:  Request Assistance: Robbery Investigation,https://reginapolice.ca/2018/01/request-assistance-robbery-investigation-16/,2018,1
Release:  Stolen Auto,https://reginapolice.ca/2018/01/stolen-auto-6/,2018,1
Release:  Stolen Auto,https://reginapolice.ca/2018/01/stolen-auto-7/,2018,1
