date,release_url
2021-05-19,https://winnipeg.ca/police/press/2021/05may/2021_05_19.stm
2021-05-17,https://winnipeg.ca/police/press/2021/05may/2021_05_17.stm
2021-05-14,https://winnipeg.ca/police/press/2021/05may/2021_05_14.stm
2021-05-13,https://winnipeg.ca/police/press/2021/05may/2021_05_13.stm
2021-05-12,https://winnipeg.ca/police/press/2021/05may/2021_05_12.stm
2021-05-11,https://winnipeg.ca/police/press/2021/05may/2021_05_11.stm
2021-05-10,https://winnipeg.ca/police/press/2021/05may/2021_05_10.stm
2021-05-08,https://winnipeg.ca/police/press/2021/05may/2021_05_08.stm
2021-05-07,https://winnipeg.ca/police/press/2021/05may/2021_05_07.stm
2021-05-06,https://winnipeg.ca/police/press/2021/05may/2021_05_06.stm
2021-05-05,https://winnipeg.ca/police/press/2021/05may/2021_05_05.stm
2021-05-04,https://winnipeg.ca/police/press/2021/05may/2021_05_04.stm
2021-05-03,https://winnipeg.ca/police/press/2021/05may/2021_05_03.stm
2021-06-30,https://winnipeg.ca/police/press/2021/06june/2021_06_30.stm
2021-06-29,https://winnipeg.ca/police/press/2021/06june/2021_06_29.stm
2021-06-25,https://winnipeg.ca/police/press/2021/06june/2021_06_25.stm
2021-06-24,https://winnipeg.ca/police/press/2021/06june/2021_06_24.stm
2021-06-23,https://winnipeg.ca/police/press/2021/06june/2021_06_23.stm
2021-06-22,https://winnipeg.ca/police/press/2021/06june/2021_06_22.stm
2021-06-21,https://winnipeg.ca/police/press/2021/06june/2021_06_21.stm
2021-06-19,https://winnipeg.ca/police/press/2021/06june/2021_06_19.stm
2021-06-18,https://winnipeg.ca/police/press/2021/06june/2021_06_18.stm
2021-06-17,https://winnipeg.ca/police/press/2021/06june/2021_06_17.stm
2021-06-16,https://winnipeg.ca/police/press/2021/06june/2021_06_16.stm
2021-06-15,https://winnipeg.ca/police/press/2021/06june/2021_06_15.stm
2021-06-14,https://winnipeg.ca/police/press/2021/06june/2021_06_14.stm
2021-06-12,https://winnipeg.ca/police/press/2021/06june/2021_06_12.stm
2021-06-11,https://winnipeg.ca/police/press/2021/06june/2021_06_11.stm
2021-06-10,https://winnipeg.ca/police/press/2021/06june/2021_06_10.stm
2021-06-09,https://winnipeg.ca/police/press/2021/06june/2021_06_09.stm
2021-06-08,https://winnipeg.ca/police/press/2021/06june/2021_06_08.stm
2021-06-07,https://winnipeg.ca/police/press/2021/06june/2021_06_07.stm
2021-06-05,https://winnipeg.ca/police/press/2021/06june/2021_06_05.stm
2021-06-04,https://winnipeg.ca/police/press/2021/06june/2021_06_04.stm
2021-06-03,https://winnipeg.ca/police/press/2021/06june/2021_06_03.stm
2021-06-02,https://winnipeg.ca/police/press/2021/06june/2021_06_02.stm
2021-06-01,https://winnipeg.ca/police/press/2021/06june/2021_06_01.stm
2021-07-31,https://winnipeg.ca/police/press/2021/07july/2021_07_31.stm
2021-07-30,https://winnipeg.ca/police/press/2021/07july/2021_07_30.stm
2021-07-29,https://winnipeg.ca/police/press/2021/07july/2021_07_29.stm
2021-07-28,https://winnipeg.ca/police/press/2021/07july/2021_07_28.stm
2021-07-27,https://winnipeg.ca/police/press/2021/07july/2021_07_27.stm
2021-07-26,https://winnipeg.ca/police/press/2021/07july/2021_07_26.stm
2021-07-25,https://winnipeg.ca/police/press/2021/07july/2021_07_25.stm
2021-07-23,https://winnipeg.ca/police/press/2021/07july/2021_07_23.stm
2021-07-22,https://winnipeg.ca/police/press/2021/07july/2021_07_22.stm
2021-07-21,https://winnipeg.ca/police/press/2021/07july/2021_07_21.stm
2021-07-20,https://winnipeg.ca/police/press/2021/07july/2021_07_20.stm
2021-07-19,https://winnipeg.ca/police/press/2021/07july/2021_07_19.stm
2021-07-17,https://winnipeg.ca/police/press/2021/07july/2021_07_17.stm
2021-07-16,https://winnipeg.ca/police/press/2021/07july/2021_07_16.stm
2021-07-15,https://winnipeg.ca/police/press/2021/07july/2021_07_15.stm
2021-07-14,https://winnipeg.ca/police/press/2021/07july/2021_07_14.stm
2021-07-13,https://winnipeg.ca/police/press/2021/07july/2021_07_13.stm
2021-07-09,https://winnipeg.ca/police/press/2021/07july/2021_07_09.stm
2021-07-08,https://winnipeg.ca/police/press/2021/07july/2021_07_08.stm
2021-07-07,https://winnipeg.ca/police/press/2021/07july/2021_07_07.stm
2021-07-06,https://winnipeg.ca/police/press/2021/07july/2021_07_06.stm
2021-07-05,https://winnipeg.ca/police/press/2021/07july/2021_07_05.stm
2021-07-04,https://winnipeg.ca/police/press/2021/07july/2021_07_04.stm
2021-08-31,https://winnipeg.ca/police/press/2021/08aug/2021_08_31.stm
2021-08-30,https://winnipeg.ca/police/press/2021/08aug/2021_08_30.stm
2021-08-27,https://winnipeg.ca/police/press/2021/08aug/2021_08_27.stm
2021-08-25,https://winnipeg.ca/police/press/2021/08aug/2021_08_25.stm
2021-08-24,https://winnipeg.ca/police/press/2021/08aug/2021_08_24.stm
2021-08-23,https://winnipeg.ca/police/press/2021/08aug/2021_08_23.stm
2021-08-20,https://winnipeg.ca/police/press/2021/08aug/2021_08_20.stm
2021-08-19,https://winnipeg.ca/police/press/2021/08aug/2021_08_19.stm
2021-08-18,https://winnipeg.ca/police/press/2021/08aug/2021_08_18.stm
2021-08-17,https://winnipeg.ca/police/press/2021/08aug/2021_08_17.stm
2021-08-16,https://winnipeg.ca/police/press/2021/08aug/2021_08_16.stm
2021-08-13,https://winnipeg.ca/police/press/2021/08aug/2021_08_13.stm
2021-08-12,https://winnipeg.ca/police/press/2021/08aug/2021_08_12.stm
2021-08-11,https://winnipeg.ca/police/press/2021/08aug/2021_08_11.stm
2021-08-10,https://winnipeg.ca/police/press/2021/08aug/2021_08_10.stm
2021-08-09,https://winnipeg.ca/police/press/2021/08aug/2021_08_09.stm
2021-08-08,https://winnipeg.ca/police/press/2021/08aug/2021_08_08.stm
2021-08-07,https://winnipeg.ca/police/press/2021/08aug/2021_08_07.stm
2021-08-06,https://winnipeg.ca/police/press/2021/08aug/2021_08_06.stm
2021-08-05,https://winnipeg.ca/police/press/2021/08aug/2021_08_05.stm
2021-08-04,https://winnipeg.ca/police/press/2021/08aug/2021_08_04.stm
2021-08-03,https://winnipeg.ca/police/press/2021/08aug/2021_08_03.stm
2021-09-15,https://winnipeg.ca/police/press/2021/09sept/2021_09_15.stm
2021-09-14,https://winnipeg.ca/police/press/2021/09sept/2021_09_14.stm
2021-09-13,https://winnipeg.ca/police/press/2021/09sept/2021_09_13.stm
2021-09-10,https://winnipeg.ca/police/press/2021/09sept/2021_09_10.stm
2021-09-09,https://winnipeg.ca/police/press/2021/09sept/2021_09_09.stm
2021-09-08,https://winnipeg.ca/police/press/2021/09sept/2021_09_08.stm
2021-09-07,https://winnipeg.ca/police/press/2021/09sept/2021_09_07.stm
