date,WPSOA,WPA,WFPSOA,UFFW
2013-01-01,2,2,,
2013-06-01,1.5,1.5,,
2014-01-01,2,2,,2
2014-06-01,1.5,1.5,,1
2014-07-01,,,2,
2015-01-01,2,2,,2
2015-03-01,,,1,
2015-06-01,1,1,,1
2015-07-01,,,2,
2016-01-01,3,3,,3
2016-03-01,,,1,
2016-07-01,,,3,
2017-12-01,2.5,2.5,,1.8
2018-08-31,,,2,
2018-12-01,2.5,2.5,,2
2019-08-31,,,2,
2019-12-01,2.5,2.5,,2
2020-06-01,1,1,,
2020-08-31,,,2,
2020-12-01,1.5,1.5,,2
2021-06-01,1,1,2,
2021-12-01,1.5,1.5,,
